Day,Infected,Recovered,Dead,Total
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,1,0,0,1
24,3,0,0,3
25,3,0,0,3
26,4,0,0,4
27,5,0,0,5
28,7,0,0,7
29,10,0,0,10
30,13,0,0,13
31,16,0,0,16
32,18,0,0,18
33,18,0,0,18
34,18,0,0,18
35,24,0,0,24
36,28,0,0,28
37,30,0,0,30
38,33,0,0,33
39,38,2,0,40
40,37,6,0,43
41,38,7,0,45
42,38,9,0,47
43,35,15,0,50
44,43,15,0,58
45,50,17,0,67
46,54,18,0,72
47,56,19,0,75
48,53,24,0,77
49,52,29,0,81
50,50,34,0,84
51,48,37,0,85
52,39,47,0,86
53,40,49,0,89
54,38,51,0,89
55,37,53,0,90
56,33,58,0,91
57,31,62,0,93
58,30,66,0,96
59,29,69,0,98
60,30,72,0,102
61,32,74,0,106
62,30,78,0,108
63,32,78,0,110
64,33,79,0,112
65,36,81,0,117
66,48,82,0,130
67,48,90,0,138
68,60,90,0,150
69,67,93,0,160
70,73,93,0,166
71,82,96,0,178
72,91,96,0,187
73,103,97,0,200
74,107,105,0,212
75,121,105,0,226
76,134,109,0,243
77,152,114,0,266
78,196,117,0,313
79,221,124,0,345
80,254,131,0,385
81,290,140,2,432
82,309,144,2,455
83,355,152,2,509
84,401,155,2,558
85,469,160,2,631
86,509,172,2,683
87,547,183,2,732
88,602,198,2,802
89,629,212,3,844
90,648,228,3,879
91,683,240,3,926
92,752,245,3,1000
93,779,266,4,1049
94,827,282,5,1114
95,886,297,6,1189
96,983,320,6,1309
97,1025,344,6,1375
98,1098,377,6,1481
99,1211,406,6,1623
100,1443,461,6,1910
101,1609,492,7,2108
102,1763,528,8,2299
103,1964,560,8,2532
